,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
PIGH,344.08452936991,1.36743144456316,0.451468506094265,0.110665252622174,4.07958682058622,4.51158178371848e-05,0.619710873811571,0.000114669370336178,0.787090557987527
SYK,904.633197325548,1.188735448322,0.249427680718078,0.0611495566829757,4.07897774322736,4.52341667898031e-05,0.621291280857945,0.000114953426629993,0.789155273814904
MFSD9,380.994271009335,1.31004470698056,0.389616046448665,0.0955336201458776,4.07831343409503,4.53635834206719e-05,0.623023454699508,0.000115265522335718,0.791413076357043
PIGV,223.644829469436,1.40504363837281,0.490614938906249,0.120310677218917,4.07790023501844,4.54442573819912e-05,0.624085986626885,0.000115453693648787,0.792820514286218
NHEJ1,485.424311745286,1.28359235651321,0.360187103852546,0.0883522549743953,4.07671659265436,4.56761083069032e-05,0.627224319270395,0.000116025827827932,0.796865385522234
PTGER4,423.974158680739,0.682650948971063,-0.550780002330337,0.135150051363581,-4.07532218281315,4.59506833812843e-05,0.630948833508414,0.0001167063069253,0.801655622269885
BTG2,130.793889711667,1.5598680000775,0.641423949798466,0.157395450903336,4.07523817313116,4.59672757308636e-05,0.631130695784757,0.000116731454497911,0.801945092400646
POU2AF1,14.2675951112238,0.191853243607986,-2.38192493850752,0.584494359520396,-4.07518892134733,4.59770058562927e-05,0.631218313401042,0.000116739171033166,0.802114844168882
HCAR2,23.8141671193489,3.08209533732053,1.62391148889755,0.39850785459383,4.07497987850876,4.60183258594913e-05,0.631739577399097,0.000116827082791718,0.802835712944686
NOTCH2NL,165.1856656029,0.621838941779794,-0.685387128653184,0.168208593777749,-4.07462611309132,4.60883323746421e-05,0.632654538506712,0.000116987785044086,0.804057046608005
STAU1,5641.58019272556,1.09545471109423,0.131529840849934,0.0322881033605155,4.07363168351287,4.62856610445755e-05,0.635316983497844,0.000117471580242023,0.807499642583665
DHRS4-AS1,218.601260521461,1.41228007841444,0.498026227185779,0.122316974885588,4.07160353378277,4.669060095952e-05,0.640828498169412,0.000118482068994878,0.814564224339786
NUB1,1593.88971378771,1.17220567297198,0.229225724490479,0.0563023754292752,4.07133309638815,4.67448495755828e-05,0.641526315575299,0.000118602479013324,0.815510645695618
SLC9A3,63.0720165891391,0.479678327019597,-1.05986083818663,0.260454294887344,-4.06927763907696,4.71591235013704e-05,0.647164651809307,0.000119636188542229,0.822738068604909
