,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
PDC,0.288297451742553,0.755244992325118,-0.40498338173576,3.66342766054153,-0.110547667174598,0.911975048555555,1,NA,NA
EHD2,45.0264462659431,1.02172493997492,0.031006858560652,0.280594651449961,0.110504096925673,0.912009600893463,1,0.972735189335178,17415.850829857
ZNRF2P1,15.7124912095761,1.03869908857763,0.0547777656053959,0.496136344103142,0.110408693611061,0.912085258778217,1,0.972745252754899,17417.0037505765
MYH3,38.7252093314076,0.976613836009431,-0.0341398776320419,0.309707865059475,-0.11023251742569,0.912224974231202,1,0.972785083814571,17418.6897107837
LOC103611081,165.752734058125,1.01162017570866,0.0166677154476795,0.151257119176717,0.110194584812938,0.912255056814331,1,0.972785083814571,17419.6624958675
ADGRL1,3903.57725145457,1.00455779301444,0.00656056586004441,0.0596712317654007,0.109945205854598,0.912452830745068,1,0.972925350668866,17423.1471797781
UBD,0.280095712378916,0.755247891320211,-0.404977843985945,3.68424788313766,-0.109921443081905,0.912471676471297,1,NA,NA
NAPSA,0.280095712378916,0.755247891320211,-0.404977843985945,3.68424788313766,-0.109921443081905,0.912471676471297,1,NA,NA
DPYSL4,2.16951326400204,1.09412758827881,0.129780983326327,1.18138811870982,0.109854654258805,0.912524645464224,1,NA,NA
BUB1B-PAK6,0.285408763267587,0.75524529865063,-0.404982796582318,3.6891840448758,-0.109775709657216,0.912587255483697,1,NA,NA
MIR6746,0.270875009613775,0.755247514226837,-0.404978564320134,3.69065796272573,-0.109730722383452,0.912622934595271,1,NA,NA
MEF2B,0.39818671269131,0.755243006120435,-0.404987175857462,3.69151552606995,-0.109707564006542,0.912641301420687,1,NA,NA
ANKRD20A8P,0.283029539543765,0.755243440111109,-0.404986346831561,3.69200417203944,-0.109692819390247,0.912652995347141,1,NA,NA
ARHGEF4,199.062432781948,0.988096593782134,-0.0172760120260609,0.1575247588909,-0.109671724925642,0.912669725358801,1,0.973085983581,17433.8084818372
FAM166A,1.07802531246782,1.13153440460729,0.178280450801642,1.62654245560798,0.109607007297577,0.912721053125903,1,NA,NA
